steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
18176,71,-147.99,10000.0,-0.033698,0.001987,1.09662,0.017186,0.304583
18432,72,-147.99,10000.0,0.14749,0.070607,1.096522,0.017402,0.620929
18688,73,-147.99,10000.0,0.027096,0.00271,1.096761,0.015382,0.238742
18944,74,-147.99,10000.0,0.09166,0.0239,1.096748,0.016591,0.465687
19200,75,-147.99,10000.0,0.311491,0.15217,1.097178,0.015109,1.559482
19456,76,-147.99,10000.0,0.063749,0.004526,1.097407,0.013574,0.357477
19712,77,-147.99,10000.0,0.086227,0.007112,1.097279,0.0147,0.50744
19968,78,-147.99,10000.0,0.046962,0.002743,1.097274,0.013483,0.309561
20224,79,-150.075,10000.0,0.044328,0.021091,1.097117,0.024538,0.330443
20480,80,-150.075,10000.0,-0.007399,0.020664,1.096957,0.013369,0.218372
20736,81,-150.075,10000.0,0.096547,0.055515,1.096819,0.013694,0.630863
20992,82,-150.075,10000.0,-0.083922,0.006446,1.096596,0.013376,0.623507
21248,83,-150.075,10000.0,0.019774,0.054448,1.09635,0.012229,0.188708
21504,84,-150.075,10000.0,0.014204,0.050166,1.096146,0.012801,0.184451
21760,85,-150.075,10000.0,-0.17237,0.026778,1.096161,0.010986,1.243884
22016,86,-150.075,10000.0,-0.134329,0.016448,1.09572,0.011689,1.011906
22272,87,-150.075,10000.0,0.03337,0.046847,1.094947,0.011477,0.263358
22528,88,-150.075,10000.0,-0.039233,0.001943,1.09458,0.011847,0.343663
22784,89,-150.075,10000.0,-0.019762,0.001244,1.094722,0.011683,0.213175
23040,90,-150.075,10000.0,0.252046,0.142576,1.094882,0.010735,1.982492
23296,91,-150.075,10000.0,0.18075,0.075546,1.095031,0.011062,1.445992
23552,92,-150.075,10000.0,0.056862,0.0034,1.095321,0.011465,0.471754
23808,93,-150.075,10000.0,-0.015444,0.00091,1.0954,0.011035,0.171355
24064,94,-150.075,10000.0,0.143855,0.057231,1.095384,0.011515,1.181165
24320,95,-150.075,10000.0,0.109168,0.055316,1.095126,0.011395,0.90912
24576,96,-150.075,10000.0,0.036651,0.052251,1.094761,0.011105,0.315659
24832,97,-150.075,10000.0,0.10478,0.078945,1.094468,0.010657,0.881263
25088,98,-150.075,10000.0,-0.241684,0.052399,1.093872,0.010776,2.059293
25344,99,-150.075,10000.0,-0.279705,0.071599,1.093382,0.011323,2.403765
25600,100,-150.075,10000.0,-0.275447,0.097147,1.093136,0.010561,2.353009
25856,101,-150.075,10000.0,-0.19461,0.076092,1.092307,0.010208,1.672057
26112,102,-150.075,10000.0,-0.269208,0.06711,1.091254,0.010511,2.339058
26368,103,-150.075,10000.0,0.177168,0.10741,1.090653,0.010564,1.530997
26624,104,-150.075,10000.0,-0.086175,0.050975,1.090231,0.009927,0.754361
26880,105,-150.075,10000.0,-0.159224,0.023867,1.089965,0.010403,1.400506
27136,106,-150.075,10000.0,-0.107372,0.010811,1.089841,0.010587,0.959083
27392,107,-150.075,10000.0,-0.035776,0.018602,1.090113,0.009561,0.326423
27648,108,-150.075,10000.0,0.127633,0.074302,1.090642,0.009439,1.138494
27904,109,-150.075,10000.0,0.062432,0.004145,1.089986,0.010008,0.550364
28160,110,-150.075,10000.0,0.209874,0.08237,1.090149,0.009448,1.832014
28416,111,-150.075,10000.0,0.224802,0.088894,1.090907,0.009887,1.968703
28672,112,-150.075,10000.0,0.069427,0.00508,1.092115,0.009511,0.613022
28928,113,-150.075,10000.0,0.037101,0.001728,1.093182,0.009321,0.331943
29184,114,-150.075,10000.0,0.15023,0.067574,1.094074,0.009937,1.339452
29440,115,-150.075,10000.0,0.052512,0.05053,1.094236,0.009119,0.471906
29696,116,-150.075,10000.0,0.015824,0.041956,1.093886,0.009447,0.151465
29952,117,-150.075,10000.0,-0.054239,0.051179,1.093373,0.009389,0.489455
30208,118,-145.3867,10000.0,-0.03313,0.048717,1.092864,0.051404,0.255125
30464,119,-145.3867,10000.0,-0.258238,0.060054,1.091941,0.0096,2.299607
30720,120,-145.3867,10000.0,-0.150169,0.063806,1.09104,0.009612,1.356987
30976,121,-145.3867,10000.0,-0.278109,0.07247,1.090522,0.009494,2.553178
31232,122,-145.3867,10000.0,-0.117415,0.053088,1.091472,0.009092,1.05465
31488,123,-145.3867,10000.0,-0.187385,0.032382,1.092612,0.009427,1.676784
31744,124,-145.3867,10000.0,-0.077701,0.052663,1.093688,0.008933,0.704502
32000,125,-145.3867,10000.0,-0.078637,0.005671,1.095013,0.009194,0.717839
32256,126,-145.3867,10000.0,0.253084,0.145296,1.096374,0.00881,2.265099
32512,127,-145.3867,10000.0,0.30591,0.155662,1.097144,0.009031,2.718628
32768,128,-145.3867,10000.0,0.319578,0.158206,1.09765,0.008873,2.859304
33024,129,-145.3867,10000.0,0.10082,0.009456,1.097634,0.009458,0.900462
33280,130,-145.3867,10000.0,0.087675,0.006971,1.097632,0.008958,0.78302
33536,131,-145.3867,10000.0,0.218894,0.080219,1.097787,0.00906,1.949742
33792,132,-145.3867,10000.0,0.022377,0.001445,1.098014,0.00889,0.205856
34048,133,-145.3867,10000.0,0.108735,0.062345,1.098164,0.009116,0.978039
34304,134,-145.3867,10000.0,-0.083586,0.007229,1.097972,0.008664,0.74771
34560,135,-145.3867,10000.0,0.067685,0.04451,1.097616,0.009006,0.60335
34816,136,-145.3867,10000.0,0.011068,0.046437,1.097087,0.008814,0.109258
35072,137,-145.3867,10000.0,-0.01367,0.042376,1.09643,0.008779,0.1407
35328,138,-145.3867,10000.0,-0.182774,0.029979,1.095715,0.008849,1.63814
35584,139,-145.3867,10000.0,-0.055062,0.047934,1.094926,0.00894,0.503113
35840,140,-145.3867,10000.0,-0.059252,0.04651,1.094345,0.008669,0.535797
36096,141,-145.3867,10000.0,-0.191645,0.033308,1.093435,0.008382,1.722562
36352,142,-145.3867,10000.0,-0.005237,0.045637,1.092513,0.008632,0.084639
36608,143,-145.3867,10000.0,-0.08777,0.007836,1.091705,0.008748,0.795421
36864,144,-145.3867,10000.0,-0.059408,0.004074,1.090703,0.00883,0.550223
37120,145,-145.3867,10000.0,-0.014092,0.000777,1.089873,0.008785,0.153442
37376,146,-145.3867,10000.0,0.074799,0.005741,1.089211,0.008564,0.695866
37632,147,-145.3867,10000.0,0.181866,0.072283,1.087885,0.008709,1.643054
37888,148,-145.3867,10000.0,0.084052,0.007863,1.086967,0.008254,0.765234
38144,149,-145.3867,10000.0,0.240836,0.095679,1.086395,0.008461,2.165181
38400,150,-145.3867,10000.0,0.196601,0.076131,1.08685,0.008362,1.793999
38656,151,-145.3867,10000.0,0.029155,0.001574,1.087227,0.008582,0.269149
38912,152,-145.3867,10000.0,0.277344,0.12855,1.087883,0.008465,2.524334
39168,153,-145.3867,10000.0,0.104046,0.054221,1.088711,0.008436,0.947721
39424,154,-145.3867,10000.0,-0.06148,0.004126,1.089549,0.008527,0.567554
39680,155,-145.3867,10000.0,-0.012611,0.050968,1.090464,0.008266,0.134285
39936,156,-145.3867,10000.0,-0.137385,0.017432,1.091289,0.008318,1.247025
40192,157,-144.33,10000.0,-0.072063,0.01713,1.091939,0.060079,0.617887
40448,158,-144.33,10000.0,0.103704,0.099177,1.092564,0.0083,0.940438
40704,159,-144.33,10000.0,-0.128406,0.015101,1.093608,0.00829,1.176472
40960,160,-144.33,10000.0,0.000692,0.043969,1.094625,0.008355,0.044964
41216,161,-144.33,10000.0,0.00268,0.047739,1.095485,0.008233,0.050554
41472,162,-144.33,10000.0,0.004872,0.061496,1.096206,0.00822,0.064562
41728,163,-144.33,10000.0,0.026185,0.046902,1.096801,0.008256,0.24265
41984,164,-144.33,10000.0,-0.146851,0.019189,1.097271,0.008072,1.334827
42240,165,-144.33,10000.0,-0.139547,0.017354,1.097427,0.007979,1.268266
42496,166,-144.33,10000.0,-0.129978,0.015036,1.097506,0.007872,1.183419
42752,167,-144.33,10000.0,-0.068075,0.004933,1.097048,0.008041,0.623357
43008,168,-144.33,10000.0,-0.019344,0.001053,1.096458,0.007898,0.186638
43264,169,-144.33,10000.0,0.009555,0.001176,1.095858,0.007936,0.096848
43520,170,-144.33,10000.0,0.078331,0.031054,1.095322,0.008353,0.717653
43776,171,-144.33,10000.0,0.263416,0.099749,1.094573,0.008118,2.452469
44032,172,-144.33,10000.0,0.114168,0.012586,1.093117,0.007966,1.051378
44288,173,-144.33,10000.0,0.087086,0.00792,1.091365,0.007707,0.793505
44544,174,-144.33,10000.0,0.0954,0.008631,1.090022,0.0079,0.876751
44800,175,-144.33,10000.0,0.040761,0.002527,1.088954,0.008027,0.378799
45056,176,-144.33,10000.0,0.024771,0.001133,1.087806,0.008033,0.234458
45312,177,-144.33,10000.0,0.194827,0.102038,1.08706,0.007885,1.762263
45568,178,-144.33,10000.0,0.019562,0.043263,1.087457,0.007937,0.17975
45824,179,-144.33,10000.0,-0.088666,0.007604,1.088102,0.00788,0.833418
46080,180,-144.33,10000.0,0.108334,0.085894,1.089406,0.008001,1.003068
46336,181,-144.33,10000.0,-0.049647,0.045456,1.090233,0.007808,0.463371
46592,182,-144.33,10000.0,-0.230901,0.046803,1.091335,0.007497,2.104124
46848,183,-144.33,10000.0,-0.222927,0.045139,1.091811,0.00767,2.054878
47104,184,-144.33,10000.0,-0.193606,0.03515,1.092345,0.007752,1.812423
47360,185,-144.33,10000.0,-0.201948,0.036716,1.0935,0.007571,1.855648
47616,186,-144.33,10000.0,-0.058766,0.055174,1.094424,0.007843,0.540358
47872,187,-144.33,10000.0,0.1007,0.074373,1.095259,0.007811,0.919701
48128,188,-144.33,10000.0,-0.131611,0.015752,1.096104,0.007612,1.203466
48384,189,-144.33,10000.0,-0.087815,0.006975,1.09668,0.007336,0.805894
48640,190,-144.33,10000.0,-0.046172,0.003131,1.097142,0.007549,0.426844
48896,191,-144.33,10000.0,0.139853,0.062365,1.097632,0.00722,1.279306
49152,192,-144.33,10000.0,0.059564,0.004011,1.098024,0.007395,0.551028
49408,193,-144.33,10000.0,0.0415,0.002358,1.098078,0.007505,0.381116
49664,194,-144.33,10000.0,0.290777,0.145905,1.098084,0.007578,2.664409
49920,195,-144.33,10000.0,0.258191,0.138638,1.09798,0.007676,2.362098
50176,196,-143.426,10000.0,0.224991,0.088659,1.097776,0.067006,2.087891
50432,197,-143.426,10000.0,0.123141,0.064593,1.097611,0.007332,1.126508
50688,198,-143.426,10000.0,-0.04841,0.003213,1.097399,0.007725,0.444595
50944,199,-143.426,10000.0,0.182777,0.095237,1.097391,0.007591,1.670592
51200,200,-143.426,10000.0,-0.107603,0.010336,1.097392,0.007117,0.986088
51456,201,-143.426,10000.0,-0.010763,0.041555,1.09725,0.007681,0.116698
51712,202,-143.426,10000.0,-0.166208,0.024858,1.09706,0.00725,1.516604
51968,203,-143.426,10000.0,-0.160543,0.024386,1.096911,0.007347,1.462552
52224,204,-143.426,10000.0,0.013762,0.058624,1.096569,0.007341,0.130275
52480,205,-143.426,10000.0,0.017774,0.046677,1.096291,0.00761,0.175948
52736,206,-143.426,10000.0,0.011359,0.039611,1.095951,0.007204,0.107081
52992,207,-143.426,10000.0,-0.125554,0.015308,1.09565,0.007087,1.15076
53248,208,-143.426,10000.0,-0.099413,0.009134,1.095297,0.007132,0.91196
53504,209,-143.426,10000.0,-0.109612,0.0121,1.095002,0.007262,1.003557
53760,210,-143.426,10000.0,0.058966,0.040084,1.094875,0.007146,0.534766
54016,211,-143.426,10000.0,0.072433,0.058187,1.095232,0.007006,0.661267
54272,212,-143.426,10000.0,-0.031302,0.002112,1.09571,0.006998,0.28773
54528,213,-143.426,10000.0,0.085474,0.05177,1.096114,0.007106,0.780229
54784,214,-143.426,10000.0,0.115336,0.062675,1.096687,0.007004,1.058898
55040,215,-143.426,10000.0,-0.06232,0.005027,1.096975,0.006983,0.568267
55296,216,-143.426,10000.0,-0.076733,0.005983,1.09699,0.007283,0.701108
55552,217,-143.426,10000.0,0.125213,0.059858,1.097021,0.007046,1.146941
55808,218,-143.426,10000.0,0.077882,0.053065,1.096896,0.00695,0.710897
56064,219,-143.426,10000.0,0.025868,0.044227,1.096771,0.00705,0.238116
56320,220,-143.426,10000.0,-0.054437,0.00392,1.096541,0.006863,0.49952
56576,221,-143.426,10000.0,-0.045505,0.021752,1.096338,0.006816,0.421053
56832,222,-143.426,10000.0,-0.071207,0.00576,1.096065,0.006871,0.653166
57088,223,-143.426,10000.0,0.117387,0.05266,1.095806,0.007132,1.082934
57344,224,-143.426,10000.0,-0.0428,0.003442,1.095085,0.007139,0.392344
57600,225,-143.426,10000.0,0.136864,0.07774,1.094405,0.007113,1.251664
57856,226,-143.426,10000.0,-0.019608,0.001267,1.093743,0.006818,0.181984
58112,227,-143.426,10000.0,-0.019507,0.001139,1.093132,0.007121,0.191134
58368,228,-143.426,10000.0,0.141257,0.062766,1.092542,0.006728,1.294116
58624,229,-143.426,10000.0,-0.014386,0.001577,1.092207,0.006674,0.133908
58880,230,-143.426,10000.0,0.119683,0.053158,1.091991,0.00723,1.120006
59136,231,-143.426,10000.0,-0.033314,0.002395,1.090984,0.006771,0.303275
59392,232,-143.426,10000.0,-0.005186,0.000742,1.089881,0.006799,0.064458
59648,233,-143.426,10000.0,0.109324,0.050234,1.089035,0.006659,1.004403
59904,234,-143.426,10000.0,-0.042732,0.00367,1.088569,0.006601,0.395727
60160,235,-143.0133,10000.0,0.127289,0.070665,1.088742,0.066425,1.161689
60416,236,-143.0133,10000.0,0.171571,0.092923,1.088391,0.006744,1.568189
60672,237,-143.0133,10000.0,-0.082554,0.006998,1.088578,0.00689,0.762703
60928,238,-143.0133,10000.0,-0.076145,0.006253,1.089123,0.006552,0.701697
61184,239,-143.0133,10000.0,0.041883,0.053121,1.089725,0.006619,0.386736
61440,240,-143.0133,10000.0,0.181778,0.096651,1.090114,0.006587,1.684975
61696,241,-143.0133,10000.0,-0.121385,0.013095,1.090003,0.006351,1.106697
61952,242,-143.0133,10000.0,-0.121903,0.014398,1.089452,0.006581,1.115058
62208,243,-143.0133,10000.0,0.020885,0.050197,1.088688,0.006361,0.194527
62464,244,-143.0133,10000.0,-0.063885,0.038226,1.088141,0.00663,0.595815
62720,245,-143.0133,10000.0,0.065077,0.059445,1.087886,0.006723,0.601247
62976,246,-143.0133,10000.0,0.03509,0.046216,1.08739,0.006453,0.323592
63232,247,-143.0133,10000.0,-0.083632,0.008224,1.087311,0.006539,0.77801
63488,248,-143.0133,10000.0,0.015735,0.04768,1.087814,0.006494,0.151471
63744,249,-143.0133,10000.0,0.03341,0.049659,1.088443,0.006498,0.310381
64000,250,-143.0133,10000.0,-0.085896,0.006883,1.089195,0.006357,0.795952
64256,251,-143.0133,10000.0,-0.09504,0.008911,1.090053,0.006246,0.872585
64512,252,-143.0133,10000.0,-0.068076,0.005112,1.090631,0.006375,0.629583
64768,253,-143.0133,10000.0,0.069431,0.046738,1.091383,0.006477,0.637443
65024,254,-143.0133,10000.0,0.076078,0.055094,1.091972,0.006319,0.695232
65280,255,-143.0133,10000.0,0.374183,0.203796,1.09286,0.006336,3.466692
65536,256,-143.0133,10000.0,-0.064023,0.005218,1.093013,0.006193,0.584575
65792,257,-143.0133,10000.0,-0.076858,0.006115,1.093088,0.006097,0.70214
66048,258,-143.0133,10000.0,0.069383,0.04765,1.09309,0.006383,0.634499
66304,259,-143.0133,10000.0,-0.056077,0.003838,1.0935,0.006062,0.51428
66560,260,-143.0133,10000.0,-0.042992,0.002628,1.093964,0.005938,0.397302
66816,261,-143.0133,10000.0,-0.011699,0.001207,1.094526,0.005883,0.119675
67072,262,-143.0133,10000.0,0.244068,0.107041,1.095063,0.006363,2.226505
67328,263,-143.0133,10000.0,0.033058,0.001654,1.095417,0.00578,0.302505
67584,264,-143.0133,10000.0,-0.023919,0.001537,1.095892,0.006603,0.228107
