steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
4864,76,0.0,0.0,0.0,-0.0,0.00086,1.098612,0.063007
4928,77,0.0,0.0,0.0,-0.0,0.002292,1.098612,0.110455
4992,78,0.0,0.0,0.0,-0.0,0.000521,1.098612,0.055865
5056,79,0.0,0.0,0.0,0.0,0.00056,1.098612,0.051142
5120,80,0.0,0.0,0.0,-0.0,0.001899,1.098612,0.105871
5184,81,0.0,0.0,0.0,0.0,0.003913,1.098612,0.141376
5248,82,0.0,0.0,0.0,0.0,0.000498,1.098612,0.037328
5312,83,0.0,0.0,0.0,0.0,0.000522,1.098612,0.053855
5376,84,0.0,0.0,0.0,-0.0,0.000838,1.098612,0.065628
5440,85,0.0,0.0,0.0,-0.0,0.000948,1.098612,0.070055
5504,86,0.0,0.0,0.0,0.0,0.000235,1.098612,0.015952
5568,87,0.0,0.0,0.0,-0.0,0.000995,1.098612,0.075321
5632,88,0.0,0.0,0.0,0.0,0.000201,1.098612,0.02586
5696,89,0.0,0.0,0.0,-0.0,0.000258,1.098612,0.03379
5760,90,0.0,0.0,0.0,0.0,0.000239,1.098612,0.023992
5824,91,0.0,0.0,0.0,-0.0,0.000245,1.098612,0.033618
5888,92,0.0,0.0,0.0,-0.0,0.000233,1.098612,0.0221
5952,93,0.0,0.0,0.0,-0.0,0.00019,1.098612,0.011425
6016,94,0.0,0.0,0.0,-0.0,0.000314,1.098612,0.03078
6080,95,0.0,0.0,0.0,-0.0,0.000422,1.098612,0.04067
6144,96,0.0,0.0,0.0,0.0,5.7e-05,1.098612,0.003074
6208,97,0.0,0.0,0.0,-0.0,0.000324,1.098612,0.041178
6272,98,0.0,0.0,0.0,-0.0,0.000116,1.098612,0.013927
6336,99,0.0,0.0,0.0,0.0,0.00049,1.098612,0.044929
6400,100,0.0,0.0,0.0,0.0,9.9e-05,1.098612,0.004912
6464,101,0.0,0.0,0.0,0.0,0.000836,1.098612,0.065858
6528,102,0.0,0.0,0.0,-0.0,0.000662,1.098612,0.045636
6592,103,0.0,0.0,0.0,0.0,0.000471,1.098612,0.028631
6656,104,0.0,0.0,0.0,0.0,0.001524,1.098612,0.086653
6720,105,0.0,0.0,0.0,0.0,0.000203,1.098612,0.030559
6784,106,0.0,0.0,0.0,0.0,0.000176,1.098612,0.020293
6848,107,0.0,0.0,0.0,0.0,0.000127,1.098612,0.017712
