steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
20992,82,25.7895,550.0,-0.022083,0.429309,1.09788,0.042791,1.36753
21248,83,25.7895,550.0,0.009892,0.181237,1.097883,0.045374,0.570938
21504,84,25.8462,550.0,0.0082,0.282268,1.097908,0.04349,0.394289
21760,85,25.8462,550.0,-0.009901,0.434953,1.097904,0.045026,0.571378
22016,86,25.775,550.0,-0.023765,0.46253,1.097944,0.043408,1.361073
22272,87,25.775,550.0,0.011259,0.241226,1.097936,0.043988,0.607478
22528,88,25.775,550.0,-0.003104,0.381188,1.09795,0.046275,0.168241
22784,89,25.7805,550.0,0.00346,0.245115,1.097986,0.044207,0.160581
23040,90,25.7805,550.0,0.017272,0.366901,1.097993,0.045456,0.927978
23296,91,25.7857,550.0,0.022285,0.675056,1.098002,0.044478,1.078413
23552,92,25.7857,550.0,0.036653,0.523306,1.097965,0.045746,1.998197
23808,93,25.9302,550.0,0.001031,0.45238,1.097936,0.045272,0.06807
24064,94,25.9302,550.0,0.021424,0.585164,1.097882,0.045942,1.179293
24320,95,26.0227,550.0,0.010983,0.299143,1.097823,0.044556,0.510181
24576,96,26.0227,550.0,0.01042,0.241192,1.097735,0.044165,0.595904
24832,97,26.0889,550.0,-0.016596,0.540234,1.097695,0.04727,1.117928
25088,98,26.0889,550.0,0.014884,0.237011,1.097696,0.044587,0.853931
25344,99,26.1087,550.0,-0.008182,0.211551,1.097743,0.043585,0.484096
25600,100,26.1087,550.0,-0.001177,0.219863,1.097746,0.045273,0.077162
25856,101,26.0213,550.0,-0.044767,0.79416,1.097783,0.047439,2.882868
26112,102,26.0213,550.0,0.009823,0.267929,1.097844,0.045567,0.566985
26368,103,26.0213,550.0,-0.017209,0.397186,1.097902,0.04632,1.067865
26624,104,26.0417,550.0,-0.024476,0.58238,1.097992,0.046287,1.59936
26880,105,26.0417,550.0,-0.004252,0.322916,1.098074,0.04652,0.245141
27136,106,26.0,550.0,-0.002226,0.35397,1.098165,0.044692,0.173415
27392,107,26.0,550.0,-0.004166,0.282467,1.098229,0.04618,0.266774
27648,108,26.08,550.0,-0.00292,0.633195,1.0983,0.045081,0.231927
27904,109,26.08,550.0,0.002341,0.449661,1.098346,0.044195,0.168474
28160,110,26.098,550.0,-0.016292,0.35006,1.0984,0.045882,0.952663
28416,111,26.098,550.0,-0.01823,0.287824,1.098445,0.046396,1.047681
28672,112,25.9808,550.0,-0.016167,0.478748,1.098498,0.045144,0.983195
28928,113,25.9808,550.0,0.006733,0.256111,1.098536,0.045179,0.34284
29184,114,25.9811,550.0,-0.002323,0.703432,1.098559,0.043451,0.179963
29440,115,25.9811,550.0,-0.006339,0.157934,1.098576,0.043724,0.32155
29696,116,25.9811,550.0,-0.009442,0.525511,1.098585,0.042238,0.494211
29952,117,25.9074,550.0,0.015733,0.297864,1.098587,0.042449,0.697621
30208,118,25.9074,550.0,0.006928,0.330215,1.098591,0.043912,0.326364
30464,119,25.8909,550.0,-0.008432,0.293998,1.098596,0.044117,0.452338
30720,120,25.8909,550.0,0.029368,0.795177,1.098599,0.04411,1.388154
30976,121,25.8393,550.0,0.009908,0.412138,1.098601,0.044107,0.42982
31232,122,25.8393,550.0,0.006862,0.26239,1.098602,0.046067,0.32247
31488,123,25.8421,550.0,0.004229,0.354061,1.098601,0.044759,0.153337
31744,124,25.8421,550.0,0.032361,0.747659,1.098598,0.045895,1.471676
32000,125,25.7759,550.0,-0.014875,0.280174,1.09859,0.043189,0.728151
32256,126,25.7759,550.0,0.020387,0.474223,1.098581,0.042013,0.963097
32512,127,25.7797,550.0,0.010907,0.263532,1.098582,0.043857,0.498092
32768,128,25.7797,550.0,0.01381,0.327691,1.098579,0.045106,0.624711
33024,129,25.8,550.0,0.022511,0.513536,1.098573,0.045414,1.047978
33280,130,25.8,550.0,-0.008009,0.356026,1.098562,0.045159,0.426245
33536,131,25.8,550.0,-0.01208,0.191086,1.098554,0.044835,0.603103
33792,132,25.7049,550.0,0.03192,0.737858,1.098548,0.043763,1.562975
34048,133,25.7049,550.0,-0.018904,0.330297,1.098543,0.043655,0.968229
34304,134,25.6613,550.0,-0.000444,0.55958,1.098539,0.045451,0.047356
34560,135,25.6613,550.0,0.016505,0.296136,1.098528,0.045209,0.822885
34816,136,25.6667,550.0,0.01172,0.504169,1.098516,0.044632,0.55923
35072,137,25.6667,550.0,0.027075,0.382928,1.098502,0.046279,1.445191
35328,138,25.7344,550.0,-0.002944,0.277972,1.098474,0.043913,0.20136
35584,139,25.7344,550.0,-0.000437,0.222508,1.098446,0.046131,0.04907
35840,140,25.7231,550.0,-0.02724,0.534193,1.098419,0.044958,1.496538
36096,141,25.7231,550.0,0.001781,0.280213,1.09838,0.044334,0.113278
36352,142,25.6667,550.0,-0.009407,0.382121,1.098356,0.045694,0.588637
36608,143,25.6667,550.0,0.000644,0.24155,1.098327,0.045745,0.060578
36864,144,25.6866,550.0,0.009089,0.340704,1.098306,0.044129,0.466916
37120,145,25.6866,550.0,0.00969,0.192623,1.098293,0.046444,0.545425
37376,146,25.6866,550.0,-0.009644,0.307986,1.098262,0.047413,0.527192
37632,147,25.6765,550.0,-0.019448,0.422336,1.098269,0.0468,1.119371
37888,148,25.6765,550.0,0.016049,0.309025,1.098282,0.044964,0.89758
38144,149,25.6522,550.0,-0.008446,0.475303,1.09832,0.046334,0.532193
38400,150,25.6522,550.0,-0.0137,0.350749,1.098344,0.043654,0.730752
38656,151,25.6429,550.0,0.008493,0.480152,1.098352,0.043735,0.421614
38912,152,25.6429,550.0,0.022952,0.436996,1.098374,0.045759,1.297921
39168,153,25.7183,550.0,0.004068,0.372502,1.098392,0.045742,0.180374
39424,154,25.7183,550.0,0.014181,0.267583,1.098391,0.044402,0.777942
39680,155,25.75,550.0,-0.021519,0.660381,1.09842,0.048397,1.322099
39936,156,25.75,550.0,-0.016618,0.682474,1.09846,0.047541,0.988111
40192,157,25.6849,550.0,-0.023238,0.471756,1.098505,0.044207,1.281561
40448,158,25.6849,550.0,-0.022883,0.486947,1.098532,0.044455,1.245708
40704,159,25.5811,550.0,-0.034193,0.855956,1.098548,0.043873,1.881155
40960,160,25.5811,550.0,0.008976,0.342653,1.098554,0.045091,0.473298
41216,161,25.5811,550.0,-0.0263,0.683602,1.098562,0.048064,1.388592
41472,162,25.5467,550.0,0.016658,0.435473,1.098573,0.045397,0.826624
41728,163,25.5467,550.0,-0.018202,0.262804,1.098582,0.045427,0.954955
41984,164,25.5395,550.0,0.024557,0.405115,1.09859,0.045173,1.232511
42240,165,25.5395,550.0,0.017793,0.555424,1.098597,0.047366,0.877937
42496,166,25.5714,550.0,-0.000863,0.385172,1.098593,0.043346,0.091343
42752,167,25.5714,550.0,0.030537,0.414733,1.098593,0.044671,1.554693
43008,168,25.6538,550.0,0.011047,0.427114,1.098594,0.045917,0.518495
43264,169,25.6538,550.0,-0.010182,0.340743,1.098589,0.044136,0.542363
43520,170,25.6203,550.0,-0.010082,0.238345,1.098585,0.045043,0.562735
43776,171,25.6203,550.0,-0.007273,0.210876,1.098581,0.045303,0.369564
44032,172,25.5875,550.0,-0.000637,0.248859,1.098577,0.045346,0.057215
44288,173,25.5875,550.0,0.037697,0.521559,1.098573,0.045458,1.916446
44544,174,25.5875,550.0,0.01682,0.369758,1.098567,0.045123,0.858397
44800,175,25.6543,550.0,0.002893,0.479508,1.098558,0.043231,0.140192
45056,176,25.6543,550.0,0.013068,0.304674,1.098559,0.046905,0.661608
45312,177,25.6341,550.0,-0.014819,0.558183,1.09854,0.043225,0.763446
45568,178,25.6341,550.0,-0.023498,0.542603,1.098517,0.042403,1.209049
45824,179,25.5783,550.0,0.023621,0.537048,1.098486,0.045305,1.132021
46080,180,25.5783,550.0,0.036669,0.614406,1.098435,0.044784,1.906699
46336,181,25.6905,550.0,0.014487,0.437974,1.098395,0.044291,0.717444
46592,182,25.6905,550.0,0.022629,0.27507,1.098367,0.045992,1.221165
46848,183,25.7059,550.0,-0.027915,0.515963,1.098337,0.046528,1.532149
47104,184,25.7059,550.0,0.010325,0.275944,1.098308,0.047157,0.574225
47360,185,25.7558,550.0,0.003182,0.343976,1.098247,0.044277,0.138419
47616,186,25.7558,550.0,-0.001352,0.334449,1.098203,0.045168,0.073996
47872,187,25.8161,550.0,0.031476,0.896178,1.098163,0.04537,1.661882
48128,188,25.8161,550.0,-0.028868,0.803961,1.098124,0.04608,1.665811
48384,189,25.8161,550.0,0.007366,0.314044,1.098092,0.046893,0.466126
48640,190,25.7841,550.0,-0.042144,0.717568,1.098043,0.045955,2.445439
48896,191,25.7841,550.0,-0.000755,0.218,1.097992,0.046336,0.0475
49152,192,25.7865,550.0,0.000173,0.445913,1.097961,0.046445,0.12558
49408,193,25.7865,550.0,-0.037415,0.595237,1.097918,0.046229,2.261817
49664,194,25.7667,550.0,-0.043992,0.819222,1.097888,0.046386,2.608767
49920,195,25.7667,550.0,0.002188,0.212133,1.097856,0.045953,0.123741
50176,196,25.7692,550.0,-0.035621,0.572818,1.097862,0.046325,2.153012
50432,197,25.7692,550.0,0.001811,0.292722,1.097833,0.045114,0.11369
50688,198,25.7826,550.0,-0.021623,0.450216,1.097847,0.0456,1.274955
50944,199,25.7826,550.0,0.024464,0.378308,1.097862,0.047238,1.417958
51200,200,25.8065,550.0,-0.022908,0.377432,1.097847,0.045598,1.309292
51456,201,25.8065,550.0,0.021784,0.352471,1.097831,0.046178,1.187495
51712,202,25.8085,550.0,-0.020058,0.688654,1.097836,0.047427,1.198288
51968,203,25.8085,550.0,-0.015374,0.484079,1.097854,0.046768,0.874959
52224,204,25.8085,550.0,-0.008758,0.222769,1.097879,0.045296,0.467185
52480,205,25.7789,550.0,-0.011753,0.350729,1.097917,0.046023,0.64527
52736,206,25.7789,550.0,-0.013349,0.305328,1.097958,0.047034,0.714014
